City,Latitude,Longtitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Time of Data,Country Code
Rawson,-43.3,-65.1,46.27,54,100,11.25,1596152680,AR
Talnakh,69.49,88.4,64.4,63,70,13.42,1596152834,RU
Kumul,42.8,93.45,72.52,31,0,15.35,1596152834,CN
Dalbandin,28.89,64.41,81.45,24,0,6.46,1596152834,PK
Marsaxlokk,35.84,14.54,82.0,74,0,2.24,1596152834,MT
Hithadhoo,-0.6,73.08,83.05,75,90,7.92,1596152834,MV
Faanui,-16.48,-151.75,79.52,78,49,11.99,1596152835,PF
Mahālingpur,16.38,75.12,72.9,89,100,8.57,1596152835,IN
Rikitea,-23.12,-134.97,73.11,87,98,13.06,1596152835,PF
Sept-Îles,50.2,-66.38,61.0,100,90,10.29,1596152835,CA
Punta Arenas,-53.15,-70.92,37.4,86,20,14.99,1596152589,CL
Pedasí,7.53,-80.03,81.63,81,13,2.33,1596152836,PA
Ponta do Sol,32.67,-17.1,68.0,68,20,11.41,1596152836,PT
Mataura,-46.19,168.86,51.8,79,100,1.86,1596152836,NZ
Atuona,-9.8,-139.03,78.71,73,5,17.58,1596152836,PF
Deputatsky,69.3,139.9,51.4,60,5,3.85,1596152837,RU
Airai,-8.93,125.41,62.58,55,19,4.52,1596152837,TL
Atkinson,42.84,-71.15,81.0,54,1,6.93,1596152837,US
Hobart,-42.88,147.33,51.8,62,75,8.05,1596152702,AU
Busselton,-33.65,115.33,50.0,91,19,5.86,1596152838,AU
Ouahigouya,13.58,-2.42,84.29,59,11,10.07,1596152838,BF
Ranot,7.78,100.32,82.87,74,100,11.39,1596152838,TH
Payson,40.04,-111.73,100.0,14,1,4.21,1596152711,US
Lata,40.16,-8.33,64.99,89,6,2.1,1596152839,PT
Lompoc,34.64,-120.46,69.01,68,2,16.11,1596152839,US
Barrow,71.29,-156.79,37.4,93,90,8.05,1596152839,US
Lebu,-37.62,-73.65,49.96,91,99,11.92,1596152839,CL
Saint-Philippe,-21.36,55.77,68.0,77,75,5.82,1596152840,RE
Ergani,38.27,39.76,80.6,38,0,10.29,1596152840,TR
Arraial do Cabo,-22.97,-42.03,66.97,82,100,16.08,1596152840,BR
Mercedes,-34.65,-59.43,48.99,60,0,1.99,1596152840,AR
Half Moon Bay,37.46,-122.43,79.0,87,90,11.41,1596152841,US
Ushuaia,-54.8,-68.3,35.6,64,20,2.24,1596152578,AR
Erdenet,49.03,104.08,61.23,83,27,3.13,1596152841,MN
Guerrero Negro,27.98,-114.06,78.93,56,2,15.26,1596152841,MX
New Norfolk,-42.78,147.06,51.01,80,100,3.0,1596152842,AU
Castro,-24.79,-50.01,47.91,89,57,10.6,1596152842,BR
Baharly,38.44,57.43,77.58,45,1,16.11,1596152842,TM
Lüderitz,-26.65,15.16,78.8,15,0,14.99,1596152842,NA
Saldanha,-33.01,17.94,50.0,87,0,4.7,1596152843,ZA
Butaritari,3.07,172.79,82.51,73,56,6.82,1596152843,KI
Dikson,73.51,80.55,53.46,72,100,11.61,1596152843,RU
Dali,25.7,100.18,64.65,86,98,1.7,1596152843,CN
Kapaa,22.08,-159.32,82.4,69,75,14.99,1596152843,US
Kimbe,-5.55,150.14,85.15,66,97,8.25,1596152844,PG
Krasnosel'kup,65.7,82.47,61.21,96,100,10.02,1596152844,RU
