City,Latitude,Longtitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Time of Data,Country Code
Iberia,29.95,-91.75,89.6,70,20,12.75,1596059127,US
Busselton,-33.65,115.33,46.99,92,79,5.19,1596059127,AU
Mudgee,-32.59,149.59,36.0,93,0,3.36,1596059127,AU
Ushuaia,-54.8,-68.3,39.2,92,75,28.86,1596059083,AR
Saint-Philippe,-21.36,55.77,66.2,88,8,4.7,1596059128,RE
Cap Malheureux,-19.98,57.61,71.01,77,44,5.01,1596059128,MU
Qaanaaq,77.48,-69.36,43.57,67,1,3.36,1596059128,GL
Turukhansk,65.82,87.98,58.89,81,96,11.43,1596059129,RU
Barrow,71.29,-156.79,44.6,81,90,25.28,1596059129,US
East London,-33.02,27.91,59.29,69,0,7.7,1596059129,ZA
Norman Wells,65.28,-126.83,60.8,82,90,6.93,1596059130,CA
Saldanha,-33.01,17.94,50.0,87,0,2.24,1596059130,ZA
Burnie,-41.07,145.92,46.0,80,11,1.01,1596059130,AU
Punta Arenas,-53.15,-70.92,39.2,80,75,11.41,1596059130,CL
Labuhan,-6.88,112.21,72.64,78,99,9.35,1596059131,ID
Hong Kong,22.29,114.16,84.0,83,100,4.0,1596059014,HK
Bobo-Dioulasso,11.18,-4.3,80.6,78,0,6.93,1596059131,BF
Auki,-8.77,160.7,82.6,74,93,2.75,1596059132,SB
Tuktoyaktuk,69.45,-133.04,53.6,76,75,8.05,1596059132,CA
Yellowknife,62.46,-114.35,71.01,56,75,10.29,1596059132,CA
Mar del Plata,-38.0,-57.56,51.8,57,0,5.82,1596059133,AR
Oranjestad,12.52,-70.03,86.0,74,40,12.75,1596058990,AW
Socorro,31.65,-106.3,100.4,20,40,4.7,1596059133,US
Longyearbyen,78.22,15.64,55.4,76,20,6.93,1596059133,SJ
Clyde River,70.47,-68.59,41.0,93,75,12.75,1596059134,CA
Hermanus,-34.42,19.23,59.0,80,11,1.01,1596059134,ZA
Vestmanna,62.16,-7.17,46.4,93,94,18.34,1596059134,FO
Saint George,37.1,-113.58,106.0,7,1,9.17,1596059135,US
Ishigaki,24.34,124.16,84.2,94,75,11.41,1596059135,JP
Khanna,30.7,76.22,80.6,100,75,12.75,1596059135,IN
Lebu,-37.62,-73.65,45.91,71,100,2.77,1596059135,CL
Saint-Louis,16.33,-15.0,89.6,46,40,6.93,1596059136,SN
Vestmannaeyjar,63.44,-20.27,52.56,86,16,4.59,1596059136,IS
Ust'-Omchug,61.15,149.63,50.13,58,84,9.89,1596059136,RU
Cape Town,-33.93,18.42,57.99,100,75,4.7,1596058958,ZA
Kapaa,22.08,-159.32,80.01,78,90,16.11,1596059137,US
Chanika,-5.42,38.02,62.58,99,16,1.61,1596059137,TZ
Ostrovnoy,68.05,39.51,49.46,89,0,13.18,1596059137,RU
Rikitea,-23.12,-134.97,73.13,82,61,14.36,1596059069,PF
Atuona,-9.8,-139.03,78.87,76,8,20.67,1596059138,PF
Upernavik,72.79,-56.15,43.2,87,49,5.35,1596059138,GL
Hobart,-42.88,147.33,46.99,70,20,9.17,1596059055,AU
Kruisfontein,-34.0,24.73,52.2,70,0,11.16,1596059139,ZA
Saskylakh,71.92,114.08,52.57,69,0,4.41,1596059139,RU
Honiara,-9.43,159.95,75.2,100,75,4.7,1596059139,SB
Faya,18.39,42.45,64.4,100,40,8.05,1596059140,SA
Russell,32.35,-85.2,84.99,88,1,9.17,1596059140,US
Antofagasta,-23.65,-70.4,59.0,67,62,10.29,1596059140,CL
San Patricio,19.22,-104.7,89.6,75,75,11.41,1596059140,MX
Mataura,-46.19,168.86,50.54,80,100,3.51,1596059141,NZ
Port Alfred,-33.59,26.89,57.72,73,0,14.97,1596059141,ZA
Sur,22.57,59.53,92.75,53,92,11.97,1596059141,OM
Ulladulla,-35.35,150.47,48.99,93,0,9.17,1596059141,AU
Ribeira Grande,38.52,-28.7,75.2,88,40,16.11,1596059142,PT
La Grande,45.32,-118.09,93.99,24,1,4.7,1596059142,US
São Raimundo Nonato,-9.02,-42.7,75.43,48,0,4.0,1596059142,BR
Laibin,23.7,109.27,79.83,84,100,1.48,1596058952,CN
Albany,42.6,-73.97,84.99,41,12,4.14,1596059143,US
Kaitangata,-46.28,169.85,48.0,80,100,3.0,1596059143,NZ
Arkadak,51.93,43.5,67.24,48,2,5.57,1596059143,RU
Puerto Ayora,-0.74,-90.35,75.2,64,20,21.92,1596059143,EC
Paso de Carrasco,-34.86,-56.05,48.2,61,0,4.7,1596059144,UY
Lüderitz,-26.65,15.16,57.2,71,0,10.29,1596059144,NA
Ponta do Sol,32.67,-17.1,71.6,64,40,10.29,1596059144,PT
Vaini,-21.2,-175.2,69.8,77,40,16.11,1596059144,TO
Narsaq,60.92,-46.05,57.2,71,40,10.29,1596059144,GL
Nampula,-15.12,39.27,60.76,98,12,4.41,1596059145,MZ
Hofn,64.25,-15.21,51.85,81,16,2.26,1596059145,IS
Castro,-24.79,-50.01,55.26,97,100,5.97,1596059145,BR
Kloulklubed,7.04,134.26,77.0,94,90,5.82,1596059145,PW
Artvin Province,41.17,41.83,71.6,88,27,11.41,1596059140,TR
Bambous Virieux,-20.34,57.76,71.6,83,40,10.29,1596059146,MU
Lompoc,34.64,-120.46,71.01,72,6,16.11,1596059146,US
Dryden,49.78,-92.75,71.6,56,40,10.29,1596059146,CA
Naze,28.37,129.48,84.2,83,20,6.93,1596059147,JP
Juwana,-6.71,111.15,68.54,83,60,7.65,1596059147,ID
Chara,56.91,118.26,62.6,80,94,3.4,1596059147,RU
Torbay,47.67,-52.73,57.99,87,40,5.82,1596059148,CA
Nikel,69.41,30.22,53.6,87,20,10.29,1596059148,RU
Tirumullaivāsal,11.23,79.83,79.77,73,100,13.6,1596059148,IN
Siniscola,40.57,9.69,78.8,69,0,2.24,1596059148,IT
High Level,58.52,-117.14,71.6,53,75,2.24,1596059149,CA
Carnarvon,-24.87,113.63,55.4,100,0,8.05,1596059149,AU
Leh,34.17,77.58,59.54,45,76,2.8,1596058963,IN
George Town,5.41,100.34,80.6,88,20,2.24,1596059018,MY
Araouane,18.9,-3.53,93.33,35,10,8.97,1596059150,ML
Beloha,-25.17,45.05,61.59,92,3,5.37,1596059150,MG
Dikson,73.51,80.55,49.55,75,58,9.01,1596059150,RU
San Fernando del Valle de Catamarca,-28.47,-65.79,59.0,39,62,4.0,1596059150,AR
Aquiraz,-3.9,-38.39,80.6,74,9,12.75,1596059151,BR
Coyhaique,-45.58,-72.07,39.2,69,99,2.64,1596059051,CL
Boone,39.03,-92.33,80.6,88,90,9.17,1596059151,US
Prince George,53.92,-122.75,79.0,37,1,2.24,1596059152,CA
Verāval,20.9,70.37,83.93,81,100,12.88,1596059152,IN
Wilmington,34.23,-77.94,84.99,83,75,3.36,1596058921,US
Jamestown,42.1,-79.24,75.99,78,90,6.93,1596059061,US
Ancud,-41.87,-73.82,46.99,81,99,4.7,1596059000,CL
Belaya Gora,68.53,146.42,48.18,61,99,8.97,1596059153,RU
Dingle,11.0,122.67,76.28,90,76,7.09,1596059153,PH
Kovdor,67.57,30.48,54.27,81,44,10.47,1596059154,RU
Nantucket,41.28,-70.1,73.4,73,1,10.29,1596059154,US
High Prairie,55.43,-116.49,75.61,59,100,2.06,1596059154,CA
Katsuura,35.13,140.3,71.01,88,75,11.41,1596059154,JP
Bluff,-46.6,168.33,52.74,75,100,13.89,1596059155,NZ
Comodoro Rivadavia,-45.87,-67.5,44.6,52,47,10.29,1596059155,AR
Bajil,15.06,43.29,86.0,67,100,8.37,1596059155,YE
Taoudenni,22.68,-3.98,98.85,24,3,10.4,1596059155,ML
Tuatapere,-46.13,167.68,53.11,75,100,7.67,1596059155,NZ
Vardø,70.37,31.11,51.8,93,40,28.86,1596059156,NO
Sayyan,15.17,44.32,61.03,81,86,4.09,1596059156,YE
Sliven,42.69,26.33,80.6,44,20,6.93,1596059156,BG
Port Elizabeth,-33.92,25.57,59.0,67,0,10.29,1596059106,ZA
Nemuro,43.32,145.57,62.37,90,3,11.56,1596059157,JP
Carutapera,-1.2,-46.02,76.95,86,0,4.27,1596059147,BR
Pevek,69.7,170.31,37.06,92,100,3.83,1596059157,RU
Lorengau,-2.02,147.27,82.8,67,23,4.7,1596059158,PG
Solnechnyy,50.72,136.63,76.98,76,12,2.71,1596059158,RU
Esperance,-33.87,121.9,48.2,87,0,12.75,1596059158,AU
Half Moon Bay,37.46,-122.43,75.0,82,75,8.05,1596059158,US
Simao,22.79,100.97,63.5,94,26,0.11,1596059159,CN
Conde,-7.26,-34.91,73.4,94,75,8.05,1596058901,BR
Henties Bay,-22.12,14.28,57.0,88,0,5.91,1596059159,NA
Hilo,19.73,-155.09,82.4,58,1,8.05,1596059159,US
Funtua,11.52,7.31,72.64,92,5,8.66,1596059160,NG
Vikulovo,56.82,70.61,49.19,78,17,1.9,1596059160,RU
Thompson,55.74,-97.86,75.2,53,40,6.93,1596059160,CA
Chokurdakh,70.63,147.92,44.01,67,69,10.74,1596059160,RU
Quelimane,-17.88,36.89,68.0,82,0,3.44,1596059161,MZ
Aykhal,66.0,111.5,50.0,76,100,6.71,1596059161,RU
Pawāyan,28.07,80.1,77.56,95,100,5.97,1596059161,IN
Mount Isa,-20.73,139.5,59.0,41,0,9.17,1596059162,AU
Goma,-1.68,29.22,63.91,64,18,1.77,1596059162,CD
Paamiut,61.99,-49.67,48.25,89,86,1.3,1596059162,GL
Barcelona,41.39,2.16,78.8,78,20,2.24,1596059049,ES
Khani,41.96,42.96,69.8,94,40,3.36,1596059163,GE
Issenye,-2.0,34.33,70.12,64,84,4.92,1596059163,TZ
Khatanga,71.97,102.5,57.85,64,100,12.44,1596059163,RU
La Rioja,42.25,-2.5,78.8,57,0,1.12,1596059163,ES
Sørland,67.67,12.69,66.2,63,82,6.93,1596059164,NO
Richards Bay,-28.78,32.04,65.89,78,81,4.81,1596059164,ZA
Avarua,-21.21,-159.78,73.4,69,51,8.05,1596059164,CK
New Norfolk,-42.78,147.06,46.99,79,19,4.0,1596059164,AU
Hurricane,37.18,-113.29,106.0,8,0,5.01,1596059165,US
Nanortalik,60.14,-45.24,46.83,89,60,8.34,1596059165,GL
Astoria,46.19,-123.83,80.01,57,1,10.29,1596059103,US
Chui,-33.7,-53.46,43.79,79,0,2.28,1596059165,UY
Bien Hoa,10.95,106.82,78.8,88,40,2.24,1596059166,VN
Mercedes,-34.65,-59.43,51.01,58,0,4.05,1596059166,AR
Nóvita,4.96,-76.61,80.44,85,61,3.36,1596059166,CO
Los Llanos de Aridane,28.66,-17.92,73.4,73,20,16.11,1596059166,ES
Mahébourg,-20.41,57.7,71.6,83,40,10.29,1596059167,MU
Volosovo,59.43,29.48,59.0,82,11,4.47,1596059167,RU
Fairbanks,64.84,-147.72,64.99,59,75,5.82,1596059103,US
La Concordia,13.2,-86.17,75.2,73,40,7.29,1596059167,NI
Severo-Kuril'sk,50.68,156.12,54.66,85,97,13.27,1596059167,RU
Stutterheim,-32.57,27.42,46.09,75,2,4.29,1596059168,ZA
Butaritari,3.07,172.79,83.01,75,36,18.1,1596059168,KI
Tiksi,71.69,128.87,40.06,86,100,7.81,1596059168,RU
Roald,62.58,6.13,57.99,87,53,6.93,1596059168,NO
Laas,46.62,10.7,64.4,88,20,2.24,1596059145,IT
Codrington,-38.27,141.97,45.05,87,46,5.44,1596059169,AU
Viedma,-40.81,-63.0,45.0,60,77,8.75,1596059169,AR
Whitehorse,60.72,-135.05,64.0,59,75,6.93,1596059089,CA
Bollène,44.28,4.75,84.2,45,2,4.7,1596059170,FR
Maceió,-9.67,-35.74,77.0,78,75,11.41,1596058950,BR
Sussex,41.18,-74.67,89.6,35,1,4.7,1596059170,US
Methóni,36.82,21.7,75.2,44,0,4.7,1596059170,GR
Pirgos,35.12,25.72,82.0,42,0,11.01,1596059171,GR
Bengkulu,-3.8,102.27,73.45,90,82,4.18,1596059171,ID
Mossamedes,-15.2,12.15,62.83,82,84,6.06,1596059171,AO
Ocampo,21.65,-101.5,69.28,62,99,7.76,1596059171,MX
Provideniya,64.38,-173.3,50.0,87,90,6.71,1596059171,RU
Hithadhoo,-0.6,73.08,82.13,80,57,16.06,1596059172,MV
Havelock,34.88,-76.9,82.99,88,20,6.93,1596058952,US
Saint Paul Harbor,57.79,-152.41,62.6,67,1,5.82,1596059172,US
Ulaangom,49.98,92.07,59.52,72,42,4.09,1596059172,MN
Pereslavl'-Zalesskiy,56.74,38.86,62.87,96,100,7.11,1596059173,RU
Alofi,-19.06,-169.92,73.4,69,75,10.29,1596059173,NU
Kahului,20.89,-156.47,87.8,48,40,24.16,1596058921,US
Isparta Province,38.0,31.0,80.6,34,0,11.41,1596059173,TR
Toora-Khem,52.47,96.11,49.06,84,0,1.7,1596059174,RU
Mahon,39.89,4.27,77.0,88,0,8.05,1596059174,ES
Buchanan,5.88,-10.05,77.0,83,75,5.82,1596059174,LR
Kysyl-Syr,63.9,122.76,51.35,66,23,5.86,1596059174,RU
Lubango,-14.92,13.49,54.07,56,0,3.33,1596059175,AO
Shellbrook,53.22,-106.4,86.0,45,40,12.75,1596059175,CA
Chatham,51.38,0.53,64.0,61,85,3.0,1596059175,GB
Santa Cruz Cabrália,-16.28,-39.02,73.4,69,20,8.05,1596059176,BR
Wahiawā,21.5,-158.02,86.0,61,75,8.05,1596059176,US
Rancho Palos Verdes,33.74,-118.39,73.99,73,20,16.11,1596059176,US
Faanui,-16.48,-151.75,79.54,78,100,18.75,1596059177,PF
Mehamn,71.04,27.85,53.6,81,0,10.29,1596059177,NO
Benguela,-12.58,13.41,70.77,77,91,5.35,1596059177,AO
Qaryat Sulūq,31.67,20.25,75.18,60,0,8.32,1596059178,LY
Yangjiang,21.85,111.97,79.88,86,97,3.89,1596059178,CN
Chapais,49.78,-74.85,69.8,73,1,5.82,1596059045,CA
Doha,25.29,51.53,96.8,67,1,2.24,1596059117,QA
Fare,-16.7,-151.02,79.65,76,100,19.69,1596059179,PF
Bredasdorp,-34.53,20.04,59.0,77,1,9.17,1596059179,ZA
Talnakh,69.49,88.4,57.2,71,44,8.95,1596059179,RU
Leningradskiy,69.38,178.42,43.0,70,16,12.62,1596059180,RU
Ituporanga,-27.41,-49.6,54.0,92,72,3.44,1596059180,BR
Norrköping,58.59,16.18,57.2,93,93,14.99,1596059062,SE
Outram,1.28,103.84,78.8,94,75,5.55,1596059180,MY
Necochea,-38.55,-58.74,46.0,79,0,1.99,1596058951,AR
Korla,41.76,86.15,75.06,37,94,14.7,1596059181,CN
Bethel,41.37,-73.41,90.0,55,1,9.17,1596059181,US
Cabo San Lucas,22.89,-109.91,87.01,42,75,11.41,1596059051,MX
Fort Nelson,58.81,-122.7,68.0,56,75,8.05,1596059182,CA
Bawku,11.06,-0.24,79.32,72,41,5.66,1596059182,GH
Pandan,14.05,124.17,79.23,87,100,8.61,1596059182,PH
Judenburg,47.17,14.67,64.4,93,60,2.24,1596059183,AT
Shihezi,44.3,86.03,74.26,41,100,5.66,1596059183,CN
Sept-Îles,50.2,-66.38,60.01,100,90,10.29,1596059183,CA
Owando,-0.48,15.9,74.73,79,97,2.89,1596059183,CG
Beringovskiy,63.05,179.32,54.79,79,91,7.9,1596059184,RU
Waitati,-45.75,170.57,48.0,74,99,14.0,1596059184,NZ
Alugan,12.22,125.48,77.95,85,100,4.43,1596059166,PH
Portland,45.52,-122.68,91.0,28,20,11.41,1596058967,US
Sabang,5.89,95.32,82.49,76,100,6.26,1596059185,ID
Merritt Island,28.54,-80.67,87.8,70,40,10.29,1596059185,US
Kargopol',61.51,38.95,61.56,98,100,2.51,1596059185,RU
Ocean City,39.28,-74.57,91.4,36,1,10.29,1596059186,US
Lagoa,39.05,-27.98,73.9,90,6,26.06,1596059186,PT
Pelym,61.01,62.0,54.0,96,100,6.08,1596059186,RU
Arak,34.09,49.69,74.62,29,68,1.07,1596059182,IR
Xining,36.62,101.77,58.53,64,84,3.42,1596059187,CN
Meulaboh,4.14,96.13,78.19,76,98,3.31,1596059187,ID
Padang,-0.95,100.35,77.29,74,99,4.29,1596059187,ID
Halifax,44.65,-63.57,81.0,73,75,5.82,1596059135,CA
Budogoshch',59.28,32.47,56.35,95,37,6.2,1596059188,RU
Lata,40.16,-8.33,66.0,94,0,2.55,1596059188,PT
Arrondissement de Vannes,47.83,-2.5,64.99,77,0,6.93,1596059189,FR
Sola,-13.88,167.55,80.6,94,90,19.3,1596059189,VU
Presque Isle,46.68,-68.02,80.6,65,1,8.05,1596059189,US
San Cristobal,7.77,-72.22,91.4,46,40,12.75,1596059190,VE
Port Blair,11.67,92.75,81.23,81,98,15.43,1596059190,IN
Baillif,16.02,-61.75,82.4,83,79,14.99,1596059190,GP
Dunedin,-45.87,170.5,48.0,76,99,7.0,1596059190,NZ
Salalah,17.02,54.09,80.6,100,75,5.82,1596059001,OM
Tecpan,14.76,-90.99,73.4,64,90,4.7,1596059191,GT
Phuthaditjhaba,-28.52,28.82,43.74,56,0,5.08,1596059191,ZA
Puerto Escondido,15.85,-97.07,84.56,74,69,7.07,1596059114,MX
Cidreira,-30.18,-50.21,46.67,74,0,5.77,1596059192,BR
Atasū,48.68,71.64,58.26,59,0,5.55,1596059192,KZ
Beira,-19.84,34.84,60.8,93,0,5.82,1596059192,MZ
Grindavik,63.84,-22.43,50.0,87,75,8.05,1596059192,IS
